nut3_code,pps,pps_per_inhabitant
RO313,9675.6,20300.0
RO314,3761.12,14500.0
RO315,4699.99,18900.0
RO316,18788.93,27300.0
RO317,5846.55,18600.0
RO32,173147.67,75000.0
RO321,155890.48,90900.0
RO322,17257.19,29100.0
RO4,96771.99,27500.0
RO41,44392.97,24000.0
RO411,14123.84,23700.0
RO412,10276.92,33300.0
RO413,5225.7,22800.0
RO414,6687.65,17800.0
RO415,8078.85,23700.0
RO42,52379.02,31300.0
RO421,11318.41,27600.0
RO422,6062.03,24900.0
RO423,8718.4,24700.0
RO424,26280.18,39500.0
ROZ,348.61,
ROZZ,348.61,
ROZZZ,348.61,
RS,135635.87,20600.0
RS1,91282.97,26800.0
RS11,58562.71,34800.0
RS12,32720.26,19000.0
RS2,44306.23,13900.0
RS21,23559.81,13100.0
RS22,20746.42,15000.0
RSZ,46.68,
RSZZ,46.68,
SE,471830.43,44400.0
SE1,220034.33,51700.0
SE11,151378.11,61100.0
SE110,151378.11,61100.0
SE12,68656.22,38600.0
SE121,17665.0,43200.0
SE122,9905.5,32600.0
SE123,19511.15,41100.0
SE124,12026.49,38800.0
SE125,9548.08,33800.0
SE2,184700.45,40100.0
SE21,32957.83,37200.0
SE211,14006.77,37700.0
SE212,8613.5,42100.0
SE213,8263.92,33300.0
SE214,2073.65,33800.0
SE22,60906.53,38300.0
SE221,6139.12,38700.0
SE224,54767.41,38200.0
SE23,90836.09,42700.0
SE231,11718.57,33800.0
SE232,79117.52,44400.0
SE3,67006.81,37900.0
SE31,29160.77,33900.0
SE311,10114.68,35500.0
SE312,9780.45,33900.0
SE313,9265.64,32300.0
SE32,14936.98,39700.0
SE321,10245.92,42100.0
SE322,4691.06,35100.0
SE33,22909.05,43100.0
SE331,11519.69,40900.0
SE332,11389.36,45600.0
SEZ,88.84,
SEZZ,88.84,
SEZZZ,88.84,
SI,76819.3,36100.0
SI0,76819.3,36100.0
SI03,32102.18,28800.0
SI031,2819.97,24800.0
SI032,9840.01,29800.0
SI033,1827.15,25900.0
SI034,8099.94,30900.0
SI035,1117.89,19500.0
SI036,2277.03,30000.0
SI037,4870.13,32800.0
SI038,1250.08,23100.0
SI04,44717.12,44100.0
SI041,30674.69,54100.0
SI042,6335.03,30200.0
SI043,3772.37,31900.0
SI044,3935.03,33000.0
SK,162718.72,29800.0
SK0,162718.72,29800.0
SK01,45609.23,61000.0
SK010,45609.23,61000.0
SK02,50703.87,28000.0
SK021,18741.67,32900.0
SK022,13825.89,24200.0
SK023,18136.31,27000.0
SK03,32276.87,24700.0
SK031,18389.71,26600.0
SK032,13887.15,22600.0
SK04,34128.76,21400.0
